order_number,product_number,unit_price,"order quantity",discount
H0373,58,1100,80,0.2
H0374,31,1000,30,0
H0375,14,1900,15,0
H0376,31,1000,42,0.05
H0377,28,3600,20,0.15
H0378,71,1700,6,0
H0379,41,800,8,0.1
H0380,30,2100,18,0.1
H0381,74,800,14,0
H0382,5,1700,32,0
H0383,13,500,20,0
H0384,20,6500,28,0
H0385,7,2400,10,0.2
H0386,24,400,15,0
H0387,24,400,15,0
H0388,45,800,15,0.2
H0389,10,2500,16,0
H0390,31,1000,60,0.1
H0391,13,500,18,0
H0392,69,2900,50,0
H0393,2,1500,25,0.25
H0394,13,500,10,0
H0395,46,1000,28,0.1
H0396,23,700,40,0
H0397,21,800,10,0.15
H0398,35,1400,30,0
H0399,68,1000,60,0
H0400,29,9900,21,0
H0401,30,2100,18,0
H0402,23,700,60,0
H0403,16,1400,21,0.15
H0404,26,2500,30,0.05
H0405,3,800,50,0
H0406,1,1400,10,0
H0407,11,1700,30,0
H0408,37,2100,10,0
H0409,14,1900,12,0
H0410,33,200,49,0
H0411,41,800,25,0.2
H0412,14,1900,20,0.1
H0413,1,1400,24,0
H0414,19,700,18,0.05
H0415,17,3100,2,0
H0416,19,700,20,0
H0417,38,21100,50,0
H0418,2,1500,60,0
H0419,60,2700,60,0.05
H0420,9,7800,20,0.1
H0421,19,700,4,0.15
H0422,26,2500,2,0
H0423,31,1000,14,0
H0424,35,1400,60,0.2
H0425,55,1900,10,0.25
H0426,56,3000,5,0
H0427,14,1900,35,0
H0428,46,1000,20,0
H0429,50,1300,40,0
H0430,17,3100,45,0.2
H0431,17,3100,50,0.25
H0432,26,2500,10,0
H0433,56,3000,28,0
H0434,11,1700,6,0
H0435,2,1500,10,0
H0436,46,1000,5,0
H0437,53,2600,15,0
H0438,19,700,15,0.2
H0439,12,3000,15,0
H0440,2,1500,45,0.15
H0441,27,3500,50,0
H0442,11,1700,30,0
H0443,11,1700,6,0.2
H0444,17,3100,10,0
H0445,39,1400,6,0
H0446,19,700,12,0.1
H0447,19,700,40,0
H0448,26,2500,6,0
H0449,10,2500,14,0
H0450,10,2500,20,0.2
H0451,55,1900,120,0.1
H0452,28,3600,15,0
H0453,48,1000,15,0.1
H0454,16,1400,20,0.2
H0455,39,1400,20,0
H0456,21,800,40,0.15
H0457,59,4400,36,0
H0458,26,2500,30,0
H0459,7,2400,16,0.05
H0460,68,1000,21,0.25
H0461,21,800,40,0.25
H0462,13,500,1,0
H0463,19,700,21,0
H0464,4,1800,16,0.2
H0465,24,400,25,0
H0466,11,1700,10,0
H0467,24,400,28,0
H0468,30,2100,8,0
H0469,2,1500,40,0.15
H0470,18,5000,30,0
H0471,7,2400,30,0
H0472,24,400,80,0.05
H0473,33,200,12,0
H0474,14,1900,12,0
H0475,31,1000,35,0.15
H0476,55,1900,2,0.05
H0477,1,1400,15,0
H0478,10,2500,20,0.05
H0479,38,21100,30,0
H0480,47,800,30,0
H0481,49,1600,24,0
H0482,40,1500,10,0
H0483,34,1100,35,0.05
H0484,21,800,14,0
H0485,2,1500,20,0.1
H0486,11,1700,5,0
H0487,19,700,5,0
H0488,59,4400,30,0
H0489,11,1700,15,0.25
H0490,59,4400,60,0
H0491,44,1600,15,0.15
H0492,25,1100,60,0.05
H0493,65,1700,15,0.1
H0494,56,3000,30,0
H0495,23,700,10,0
H0496,31,1000,20,0.05
H0497,56,3000,14,0
H0498,24,500,14,0
H0499,28,4600,20,0
H0500,15,1600,12,0.05
H0501,54,700,20,0
H0502,45,1000,21,0
H0503,14,2300,70,0
H0504,2,1900,12,0
H0505,62,4900,3,0
H0506,25,1400,18,0.1
H0507,43,4600,15,0.15
H0508,13,600,10,0
H0509,28,4600,3,0
H0510,29,12400,36,0
H0511,4,2200,50,0.15
H0512,24,500,10,0.15
H0513,21,1000,40,0.2
H0514,20,8100,39,0
H0515,9,9700,16,0.15
H0516,18,6300,25,0.1
H0517,52,700,6,0
H0518,24,500,5,0
H0519,10,3100,16,0.05
H0520,24,500,8,0
H0521,35,1800,3,0
H0522,1,1800,40,0.2
H0523,17,3900,25,0.1
H0524,10,3100,2,0
H0525,36,1900,30,0
H0526,1,1800,8,0.15
H0527,4,2200,50,0.1
H0528,11,2100,3,0
H0529,55,2400,14,0
H0530,17,3900,40,0
H0531,59,5500,2,0
H0532,30,2600,15,0
H0533,4,2200,50,0.05
H0534,30,2600,10,0
H0535,11,2100,50,0.1
H0536,12,3800,15,0.25
H0537,31,1300,30,0
H0538,70,1500,7,0
H0539,13,600,8,0
H0540,3,1000,60,0
H0541,24,500,35,0.1
H0542,11,2100,15,0.05
H0543,12,3800,30,0.15
H0544,28,4600,7,0
H0545,11,2100,10,0
H0546,7,3000,10,0
H0547,32,3200,24,0.15
H0548,34,1400,10,0.25
H0549,31,1300,55,0.15
H0550,17,3900,8,0.1
H0551,16,1700,40,0.15
H0552,69,3600,18,0
H0553,11,2100,15,0
H0554,16,1700,30,0.05
H0555,14,2300,30,0.2
H0556,72,3500,24,0
H0557,64,3300,30,0
H0558,47,1000,25,0
H0559,41,1000,12,0.05
H0560,30,2600,20,0
H0561,44,1900,10,0
H0562,33,300,20,0.1
H0563,36,1900,25,0
H0564,17,3900,16,0.05
H0565,24,500,25,0.1
H0566,11,2100,35,0.15
H0567,31,1300,60,0.2
H0568,10,3100,5,0
H0569,31,1300,35,0.2
H0570,11,2100,15,0.05
H0571,14,2300,11,0.15
H0572,16,1700,12,0.1
H0573,17,3900,18,0
H0574,33,300,14,0
H0575,59,5500,12,0
H0576,1,1800,10,0
H0577,39,1800,10,0
H0578,35,1800,20,0
H0579,15,1600,10,0
H0580,14,2300,15,0.05
H0581,75,800,50,0.2
H0582,57,2000,4,0
H0583,29,12400,10,0
H0584,31,1300,50,0.05
H0585,47,1000,15,0
H0586,52,700,4,0.15
H0587,26,3100,6,0
H0588,18,6300,40,0.2
H0589,35,1800,4,0
H0590,1,1800,20,0
H0591,3,1000,14,0
H0592,15,1600,25,0.05
H0593,20,8100,21,0.2
H0594,52,700,24,0
H0595,35,1800,30,0.25
H0596,56,3800,5,0.2
H0597,24,500,35,0.2
H0598,27,4400,50,0
H0599,62,4900,10,0
H0600,54,700,4,0
H0601,13,600,60,0
H0602,77,1300,5,0.25
H0603,22,2100,48,0
H0604,48,1300,6,0.1
H0605,16,1700,30,0.05
H0606,4,2200,20,0.2
H0607,7,3000,45,0
H0608,56,3800,28,0
H0609,1,1800,3,0
H0610,36,1900,21,0.25
H0611,1,1800,6,0
H0612,10,3100,70,0
H0613,13,600,8,0.1
H0614,11,2100,14,0
H0615,55,2400,5,0
H0616,38,26400,15,0.05
H0617,59,5500,30,0.15
H0618,6,2500,70,0
H0619,21,1000,42,0
H0620,24,500,5,0
H0621,19,900,5,0
H0622,2,1900,20,0
H0623,14,2300,21,0
H0624,28,4600,10,0
H0625,14,2300,3,0
H0626,53,3300,12,0
H0627,62,4900,15,0
H0628,1,1800,25,0
H0629,29,12400,20,0
H0630,55,2400,12,0.05
H0631,75,800,8,0.1
H0632,2,1900,30,0.05
H0633,12,3800,36,0.15
H0634,7,3000,35,0
H0635,4,2200,10,0.1
H0636,4,2200,25,0
H0637,11,2100,10,0
H0638,45,1000,20,0
H0639,18,6300,8,0
H0640,69,3600,20,0.25
H0641,2,1900,50,0
H0642,21,1000,30,0.2
H0643,28,4600,15,0.25
H0644,18,6300,4,0.1
H0645,18,6300,20,0
H0646,1,1800,15,0.25
H0647,19,900,30,0
H0648,22,2100,15,0
H0649,28,4600,20,0
H0650,30,2600,30,0
H0651,19,900,12,0.25
H0652,30,2600,2,0.25
H0653,16,1700,30,0.1
H0654,4,2200,12,0.1
H0655,41,1000,20,0.2
H0656,14,2300,3,0.1
H0657,15,1600,50,0
H0658,21,1000,60,0
H0659,31,1300,20,0.05
H0660,20,8100,21,0
H0661,39,1800,3,0.2
H0662,68,1300,10,0
H0663,40,1800,30,0.05
H0664,10,3100,24,0.15
H0665,51,5300,20,0
H0666,29,12400,36,0
H0667,69,3600,45,0.2
H0668,31,1300,8,0.1
H0669,36,1900,30,0
H0670,23,900,32,0
H0671,16,1700,10,0
H0672,38,26400,15,0.1
H0673,16,1700,3,0
H0674,23,900,5,0
H0675,14,2300,30,0
H0676,10,3100,2,0
H0677,26,3100,30,0.15
H0678,12,3800,100,0
H0679,59,5500,12,0
H0680,16,1700,50,0.25
H0681,19,900,30,0.1
H0682,33,300,30,0
H0683,52,700,9,0
H0684,40,1800,20,0
H0685,10,3100,20,0
H0686,17,3900,30,0.2
H0687,9,9700,50,0.25
H0688,10,3100,18,0.1
H0689,1,1800,35,0.25
H0690,56,3800,20,0.25
H0691,1,1800,30,0
H0692,21,1000,20,0
H0693,9,9700,6,0
H0694,7,3000,90,0
H0695,8,4000,10,0
H0696,17,3900,20,0
H0697,19,900,7,0.25
H0698,11,2100,15,0
H0699,47,1000,12,0
H0700,1,1800,5,0.2
H0701,59,5500,42,0.15
H0702,38,26400,6,0
H0703,2,1900,5,0
H0704,4,2200,6,0
H0705,31,1300,20,0
H0706,16,1700,20,0
H0707,55,2400,21,0
H0708,5,2100,4,0
H0709,8,4000,40,0
H0710,19,900,5,0
H0711,19,900,12,0
H0712,53,3300,3,0.05
H0713,10,3100,18,0
H0714,2,1900,30,0.25
H0715,10,3100,21,0
H0716,21,1000,5,0
H0717,21,1000,32,0.05
H0718,12,3800,36,0
H0719,18,6300,12,0.25
H0720,35,1800,21,0
H0721,44,1900,50,0.05
H0722,2,1900,3,0
H0723,26,3100,15,0
H0724,10,3100,16,0
H0725,41,1000,12,0
H0726,4,2200,25,0
H0727,17,3900,20,0.05
H0728,30,2600,15,0
H0729,1,1800,50,0
H0730,16,1700,15,0.05
H0731,21,1000,40,0.05
H0732,76,1800,20,0
H0733,14,2300,16,0
H0734,6,2500,30,0
H0735,61,2900,20,0.1
H0736,65,2100,40,0
H0737,13,600,4,0
H0738,16,1700,3,0
H0739,36,1900,6,0
H0740,28,4600,5,0.2
H0741,2,1900,15,0.2
H0742,3,1000,20,0
H0743,46,1200,28,0.05
H0744,40,1800,50,0.2
H0745,18,6300,24,0
H0746,13,600,6,0
H0747,31,1300,8,0
H0748,23,900,44,0
H0749,56,3800,15,0
H0750,14,2300,5,0.15
H0751,26,3100,12,0.1
H0752,1,1800,8,0
H0753,45,1000,4,0
H0754,40,1800,3,0
H0755,47,1000,30,0.25
H0756,18,6300,21,0.2
H0757,34,1400,30,0
H0758,26,3100,20,0
H0759,32,3200,10,0
H0760,25,1400,12,0.25
H0761,25,1400,35,0.25
H0762,39,1800,16,0
H0763,21,1000,40,0
H0764,3,1000,20,0.1
H0765,65,2100,80,0.1
H0766,2,1900,40,0
H0767,42,1400,2,0
H0768,22,2100,4,0
H0769,41,1000,30,0.05
H0770,11,2100,15,0.25
H0771,71,2200,16,0
H0772,29,12400,18,0
H0773,17,3900,33,0
H0774,31,1300,2,0.25
H0775,10,3100,6,0
H0776,31,1300,16,0.05
H0777,42,1400,20,0.2
H0778,41,1000,10,0
H0779,16,1700,20,0
H0780,70,1500,35,0
H0781,54,700,3,0.2
H0782,31,1300,1,0
H0783,31,1300,10,0
H0784,36,1900,30,0
H0785,10,3100,10,0
H0786,8,4000,30,0.2
H0787,2,1900,15,0.05
H0788,19,900,50,0.05
H0789,18,6300,30,0
H0790,7,3000,3,0.15
H0791,29,12400,14,0.05
H0792,2,1900,10,0
H0793,41,1000,14,0
H0794,14,2300,15,0.2
H0795,16,1700,65,0
H0796,26,3100,21,0.2
H0797,11,2100,20,0
H0798,62,4900,2,0
H0799,13,600,20,0.15
H0800,11,2100,50,0.1
H0801,17,3900,40,0.25
H0802,30,2600,25,0.25
H0803,19,900,24,0.05
H0804,10,3100,36,0
H0805,34,1400,10,0
H0806,2,1900,20,0.25
H0807,40,1800,1,0
H0808,56,3800,20,0.15
H0809,52,700,20,0
H0810,13,600,7,0
H0811,19,900,15,0
H0812,31,1300,16,0.1
H0813,2,1900,12,0.2
H0814,41,1000,20,0
H0815,33,300,16,0
H0816,38,26400,30,0.05
H0817,26,3100,40,0.15
H0818,32,3200,20,0
H0819,43,4600,7,0
H0820,56,3800,30,0
H0821,35,1800,20,0
H0822,62,4900,3,0
H0823,11,2100,20,0.1
H0824,41,1000,12,0
H0825,26,3100,12,0
H0826,31,1300,35,0
H0827,10,3100,15,0
H0828,20,8100,5,0
H0829,2,1900,10,0
H0830,6,2500,6,0
H0831,19,900,2,0
H0832,13,600,3,0.2
H0833,7,3000,20,0.1
H0834,29,12400,8,0.05
H0835,59,5500,15,0
H0836,22,2100,52,0
H0837,13,600,6,0
H0838,1,1800,4,0.25
H0839,58,1300,30,0.1
H0840,25,1400,6,0.2
H0841,10,3100,16,0
H0842,11,2100,15,0
H0843,51,5300,4,0.25
H0844,22,2100,35,0
H0845,23,900,70,0.1
H0846,4,2200,21,0
H0847,1,1800,80,0.2
H0848,5,2100,30,0
H0849,3,1000,49,0
H0850,25,1400,20,0.15
H0851,2,1900,5,0.05
H0852,2,1900,15,0
H0853,18,6300,10,0
H0854,10,3100,100,0.15
H0855,16,1700,50,0
H0856,2,1900,20,0
H0857,3,1000,30,0
H0858,7,3000,5,0
H0859,24,500,40,0.25
H0860,51,5300,3,0
H0861,17,3900,42,0
H0862,11,2100,25,0
H0863,1,1800,20,0.15
H0864,35,1800,4,0
H0865,38,26400,60,0.05
H0866,2,1900,21,0.25
H0867,53,3300,3,0
H0868,26,3100,20,0
H0869,1,1800,40,0
H0870,35,1800,3,0
H0871,6,2500,50,0.05
H0872,55,2400,10,0.05
H0873,21,1000,20,0
H0874,10,3100,10,0
H0875,19,900,25,0
H0876,46,1200,21,0
H0877,16,1700,30,0.25
H0878,20,8100,20,0.05
H0879,40,1800,12,0
H0880,23,900,30,0.2
H0881,73,1500,10,0
H0882,42,1400,25,0
H0883,24,500,8,0
H0884,21,1000,40,0.05
H0885,2,1900,20,0
H0886,10,3100,70,0
H0887,25,1400,5,0
H0888,2,1900,20,0
H0889,11,2100,40,0
H0890,17,3900,15,0
H0891,30,2600,15,0.05
H0892,59,5500,40,0.05
H0893,8,4000,30,0
H0894,13,600,28,0.05
H0895,24,500,110,0
H0896,45,1000,15,0
H0897,29,12400,80,0
H0898,13,600,5,0
H0899,39,1800,8,0.15
H0900,70,1500,3,0.25
H0901,41,1000,30,0
H0902,55,2400,30,0.15
H0903,13,600,40,0
H0904,58,1300,15,0
H0905,1,1800,20,0.05
H0906,61,2900,15,0
H0907,75,800,14,0
H0908,7,3000,20,0.05
H0909,7,3000,12,0
H0910,19,900,12,0
H0911,1,1800,10,0
H0912,11,2100,40,0.25
H0913,4,2200,30,0.25
H0914,71,2200,25,0
H0915,17,3900,10,0
H0916,16,1700,6,0
H0917,30,2600,1,0
H0918,1,1800,60,0.25
H0919,16,1700,24,0
H0920,50,1600,24,0
H0921,35,1800,10,0
H0922,17,3900,15,0
H0923,42,1400,10,0.2
H0924,10,3100,20,0.1
H0925,36,1900,25,0.15
H0926,11,2100,2,0
H0927,20,8100,5,0
H0928,47,1000,5,0
H0929,21,1000,60,0
H0930,21,1000,36,0
H0931,13,600,42,0.15
H0932,16,1700,30,0.1
H0933,53,3300,2,0
H0934,6,2500,20,0
H0935,1,1800,21,0
H0936,36,1900,30,0.2
H0937,28,4600,8,0
H0938,13,600,20,0.25
H0939,2,1900,10,0.15
H0940,7,3000,8,0
H0941,31,1300,44,0.25
H0942,49,2000,28,0
H0943,13,600,15,0
H0944,11,2100,5,0.25
H0945,13,600,20,0
H0946,10,3100,25,0
H0947,59,5500,4,0
H0948,50,1600,9,0
H0949,6,2500,12,0
H0950,4,2200,5,0
H0951,33,300,15,0.05
H0952,6,2500,16,0.05
H0953,20,8100,50,0.05
H0954,16,1700,28,0.15
H0955,75,800,12,0.2
H0956,21,1000,12,0
H0957,30,2600,30,0
H0958,5,2100,20,0
H0959,75,800,20,0.15
H0960,24,500,10,0.25
H0961,52,700,6,0.05
H0962,7,3000,45,0
H0963,60,3400,2,0.15
H0964,18,6300,6,0
H0965,51,5300,16,0
H0966,37,2600,8,0
H0967,19,900,12,0
H0968,12,3800,30,0
H0969,46,1200,9,0
H0970,52,700,40,0.2
H0971,29,12400,14,0
H0972,17,3900,6,0
H0973,26,3100,5,0
H0974,63,4400,10,0
H0975,8,4000,16,0
H0976,28,4600,20,0
H0977,39,1800,30,0
H0978,8,4000,20,0.15
H0979,7,3000,18,0
H0980,75,800,40,0.2
H0981,38,26400,60,0
H0982,7,3000,20,0
H0983,13,600,84,0.15
H0984,16,1700,55,0
H0985,16,1700,36,0.1
H0986,11,2100,30,0
H0987,7,3000,60,0
H0988,7,3000,60,0
H0989,6,2500,40,0
H0990,21,1000,65,0
H0991,2,1900,50,0.2
H0992,72,3500,2,0
H0993,29,12400,50,0.25
H0994,59,5500,18,0.05
H0995,51,5300,20,0
H0996,42,1400,40,0
H0997,32,3200,50,0
H0998,24,500,12,0
H0999,41,1000,20,0.05
H1000,4,2200,25,0.25
H1001,7,3000,60,0
H1002,13,600,56,0
H1003,1,1800,4,0
H1004,26,3100,6,0
H1005,1,1800,2,0
H1006,1,1800,8,0
H1007,8,4000,30,0
H1008,28,4600,70,0.05
H1009,24,500,12,0
H1010,7,3000,20,0
H1011,58,1300,40,0.05
H1012,19,900,50,0.05
H1013,23,900,10,0
H1014,41,1000,28,0.1
H1015,30,2600,15,0
H1016,31,1300,15,0
H1017,3,1000,25,0
H1018,12,3800,20,0
H1019,46,1200,3,0
H1020,10,3100,24,0.15
H1021,2,1900,11,0.25
H1022,19,900,35,0
H1023,7,3000,4,0
H1024,26,3100,12,0
H1025,1,1800,10,0.1
H1026,18,6300,8,0
H1027,24,500,30,0.25
H1028,55,2400,35,0
H1029,56,3800,20,0
H1030,2,1900,100,0.25
H1031,1,1800,45,0
H1032,36,1900,35,0
H1033,53,3300,70,0.1
H1034,21,1000,15,0.1
H1035,1,1800,10,0
H1036,13,600,7,0
H1037,70,1500,4,0
H1038,40,1800,5,0.2
H1039,28,4600,20,0
H1040,21,1000,20,0
H1041,2,1900,30,0.2
H1042,44,1900,15,0
H1043,11,2100,10,0
H1044,62,4900,12,0
H1045,33,300,15,0
H1046,12,3800,20,0.05
H1047,1,1800,25,0.25
H1048,68,1300,42,0
H1049,2,1900,10,0.2
H1050,76,1800,50,0.1
H1051,24,500,10,0.2
H1052,43,4600,30,0.2
H1053,18,6300,35,0.2
H1054,33,300,10,0
H1055,24,500,15,0
H1056,7,3000,40,0
H1057,70,1500,3,0
H1058,21,1000,3,0
H1059,13,600,30,0
H1060,60,3400,4,0
H1061,60,3400,15,0
H1062,53,3300,10,0.2
H1063,34,1400,30,0
H1064,17,3900,77,0.1
H1065,30,2600,4,0.25
H1066,16,1700,3,0
H1067,41,1000,9,0
H1068,28,4600,8,0.15
H1069,39,1800,20,0
H1070,1,1800,40,0.15
H1071,7,3000,15,0.05
H1072,2,1900,8,0
H1073,11,2100,10,0
H1074,16,1700,14,0.05
H1075,2,1900,10,0.15
H1076,6,2500,20,0.25
